filename,format,tool,n_components,source_path
eb1cc441c4a10df7f63bdc90e2f383c8520a3db6,CycloneDX-JSON,cdxgen,6,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\e\eb1cc441c4a10df7f63bdc90e2f383c8520a3db6
02064d8b6b49bc043ed48001c323bf2568388828,CycloneDX-XML,unknown,99,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\0\02064d8b6b49bc043ed48001c323bf2568388828
da6ff4126d0a52628132b48f498fc312e9a6d3c5,CycloneDX-JSON,Gemnasium,17,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\d\da6ff4126d0a52628132b48f498fc312e9a6d3c5
5f0f3b7cce1374943756685dabc586f753a4743d,CycloneDX-JSON,cdxgen,19,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\5\5f0f3b7cce1374943756685dabc586f753a4743d
8d750fec55d72ec9ce405c6946ea2fdcd9f3bf08,CycloneDX-JSON,Node.js module,28,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\8\8d750fec55d72ec9ce405c6946ea2fdcd9f3bf08
7ed77dce424c4f5011eebed0958481b0c2d127c3,CycloneDX-JSON,cyclonedx-php-composer,44,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\7\7ed77dce424c4f5011eebed0958481b0c2d127c3
42ab4c82e60850fbd4abd6d8b489203f6e83b58a,CycloneDX-JSON,cdxgen,31,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\4\42ab4c82e60850fbd4abd6d8b489203f6e83b58a
6bb038a0412d7798dca142ca7f29db943b97b253,CycloneDX-JSON,syft,23,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\6\6bb038a0412d7798dca142ca7f29db943b97b253
7986f5580cf35d7f0bf6935c73e6b98d68ab9f9a,CycloneDX-JSON,cyclonedx-gomod,18,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\7\7986f5580cf35d7f0bf6935c73e6b98d68ab9f9a
2c87e12b145c25175e325ba4ab86d3e4be3944ca,CycloneDX-JSON,trivy,40,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\2\2c87e12b145c25175e325ba4ab86d3e4be3944ca
d8cacd3db6aba233eedf3f95f93f4783da04d02b,CycloneDX-JSON,cyclonedx-gomod,159,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\d\d8cacd3db6aba233eedf3f95f93f4783da04d02b
1e9deb8968ab76b64ffbe673fa4790847c62efd4,CycloneDX-JSON,cdxgen,7,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\1\1e9deb8968ab76b64ffbe673fa4790847c62efd4
04ecfecbcfa57b06bc6aa7f15013df943d7404ba,CycloneDX-JSON,Node.js module,68,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\0\04ecfecbcfa57b06bc6aa7f15013df943d7404ba
c6ee0208d9ab486615745fbc7a4982678962266b,CycloneDX-JSON,Node.js module,2033,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\c\c6ee0208d9ab486615745fbc7a4982678962266b
edb6926aa46899678ec1f0dd74878427ad11b445,CycloneDX-JSON,cyclonedx-php-composer,28,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\e\edb6926aa46899678ec1f0dd74878427ad11b445
ee38338e355ef580106cac06891b9463a6b9d973,SPDX-JSON,phoenix container pipeline/metaeffekt plugins,477,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\e\ee38338e355ef580106cac06891b9463a6b9d973
7e0fb2e05020b9e2933c5455c1459c34e07b26f4,CycloneDX-JSON,trivy,18,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\7\7e0fb2e05020b9e2933c5455c1459c34e07b26f4
11d9b6c8c42b45ddce622c3346594f21005001b7,CycloneDX-JSON,cyclonedx-php-composer,81,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\1\11d9b6c8c42b45ddce622c3346594f21005001b7
bccb5bce01f19458dbf8246ecd22f97cfbe569e9,CycloneDX-JSON,cyclonedx-php-composer,41,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\b\bccb5bce01f19458dbf8246ecd22f97cfbe569e9
295062f342ea0bb16d7fa44d50134fd8299592a0,CycloneDX-JSON,cdxgen,26,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\2\295062f342ea0bb16d7fa44d50134fd8299592a0
c21b796d95fd6486b078f674cd3f7ff4c67d74f9,CycloneDX-JSON,Gemnasium,351,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\c\c21b796d95fd6486b078f674cd3f7ff4c67d74f9
e450e40057b47342d0d2fe64573ab643aed0515a,CycloneDX-JSON,cdxgen,49,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\e\e450e40057b47342d0d2fe64573ab643aed0515a
4f89fb2bb04d9c2214c0b0d415a224589b9f24cd,CycloneDX-JSON,cyclonedx-php-composer,44,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\4\4f89fb2bb04d9c2214c0b0d415a224589b9f24cd
f611f4cee8962f260cc7d346fb6c00471a7d5826,CycloneDX-JSON,cdxgen,31,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\f\f611f4cee8962f260cc7d346fb6c00471a7d5826
b6e9d355eab8f8d3686bab2b83375e7551df92fc,CycloneDX-JSON,cdxgen,5,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\b\b6e9d355eab8f8d3686bab2b83375e7551df92fc
9a54b2168554915540df87fb13ebaf16fbbd2023,CycloneDX-JSON,Node.js module,284,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\9\9a54b2168554915540df87fb13ebaf16fbbd2023
