filename,format,tool,n_components,B1_result,B1_score,B1_detail,B2_result,B2_score,B2_detail,B3_result,B3_score,B3_detail,B4_result,B4_score,B4_detail
4ebcd69ef0762d361cb3eec3b1a0ea20d363e3a2,CycloneDX-JSON,cyclonedx-gomod,353,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 1 EOL, 29 unknown (of 30 checked)",PASS,1.0,15/15 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
4ecc375f719ee27e9c65aa6a4fe5867ad84e3832,CycloneDX-JSON,cyclonedx-php-composer,58,SKIP,0.0,No vulnerabilities declared — A8 failed,SKIP,0.0,No components with mappable ecosystem/version,FAIL,0.0,0/15 PURLs resolved successfully,PASS,1.0,30/30 license IDs are valid SPDX
4ecfc420c68ae7e0b089fdba73e188e04f86c96a,CycloneDX-JSON,cyclonedx-php-composer,8,SKIP,0.0,No vulnerabilities declared — A8 failed,SKIP,0.0,No components with mappable ecosystem/version,FAIL,0.0,0/8 PURLs resolved successfully,PARTIAL,0.875,7/8 license IDs are valid SPDX; invalid examples: BSD
4ed053ba813ada0c78895a79755e0dcf665c955a,CycloneDX-JSON,cdxgen,101,SKIP,0.0,No vulnerabilities declared — A8 failed,PASS,1.0,"1 supported, 0 EOL, 29 unknown (of 30 checked)",PASS,1.0,15/15 PURLs resolved successfully,PARTIAL,0.133,"4/30 license IDs are valid SPDX; invalid examples: BSD, public domain, Python, 2-Clause BSD, GPL 3 see COPYING.txt, Python Software Foundation License"
4ee209c77a7b98ecda6a981e889f70e5f776ade5,CycloneDX-JSON,cdxgen,218,SKIP,0.0,No vulnerabilities declared — A8 failed,SKIP,0.0,No components with mappable ecosystem/version,FAIL,0.0,0/15 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
4ef31b5429230c63d6e1dfc217b0bdf53ddc0462,CycloneDX-JSON,Github Extractor,5,SKIP,0.0,No vulnerabilities declared — A8 failed,PASS,1.0,"1 supported, 0 EOL, 4 unknown (of 5 checked)",PASS,1.0,5/5 PURLs resolved successfully,PARTIAL,0.25,"1/4 license IDs are valid SPDX; invalid examples: Python Software Foundation License, PSF, ZPL 2.1"
4f0309030b56bf53bb090598537e4a11298f502e,CycloneDX-XML,unknown,99,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 0 EOL, 4 unknown (of 4 checked)",PASS,1.0,4/4 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
4f0483bfc8392c0d45a879e7e878d9e242d17f2f,SPDX-JSON,cyclonedx:cyclonedx,8,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 2 EOL, 7 unknown (of 9 checked)",PASS,1.0,9/9 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
4f162247021042b2d4bb73d3040226da3a164e3b,CycloneDX-JSON,Node.js module,133,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 0 EOL, 30 unknown (of 30 checked)",PASS,1.0,15/15 PURLs resolved successfully,PASS,1.0,30/30 license IDs are valid SPDX
4f18d065e52d99036a12bf164f1b6e7c164e6664,CycloneDX-JSON,cyclonedx-bom,7,SKIP,0.0,No vulnerabilities declared — A8 failed,PASS,1.0,"1 supported, 0 EOL, 6 unknown (of 7 checked)",PASS,1.0,7/7 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
4f1eb6e01ae0867552a33e254dca021b87ec6568,CycloneDX-JSON,Node.js module,54,SKIP,0.0,No vulnerabilities declared — A8 failed,PASS,1.0,"1 supported, 0 EOL, 29 unknown (of 30 checked)",PASS,1.0,15/15 PURLs resolved successfully,PARTIAL,0.367,"11/30 license IDs are valid SPDX; invalid examples: public domain, Python, 2-Clause BSD, GPL 3 see COPYING.txt, Python Software Foundation License, PSF"
4f3227f7eb7659b2bfc5e867a5294bc1db0e2378,CycloneDX-JSON,Node.js module,761,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 0 EOL, 30 unknown (of 30 checked)",PASS,1.0,15/15 PURLs resolved successfully,PASS,1.0,30/30 license IDs are valid SPDX
4f347e229f6498f623e551704215149ff394aafc,CycloneDX-XML,unknown,99,SKIP,0.0,No vulnerabilities declared — A8 failed,SKIP,0.0,No components with mappable ecosystem/version,SKIP,0.0,No PURLs found in SBOM,SKIP,0.0,No license data to validate — A11 failed
4f3d436b1406c53d4cbab5c76ddbcc0aadf2e471,CycloneDX-JSON,cdxgen,92,SKIP,0.0,No vulnerabilities declared — A8 failed,SKIP,0.0,No components with mappable ecosystem/version,FAIL,0.0,0/15 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
4f5b0637034367293d48d944caccd843e6c5af1d,CycloneDX-JSON,syft,895,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 0 EOL, 30 unknown (of 30 checked)",PARTIAL,0.467,7/15 PURLs resolved successfully,PASS,1.0,30/30 license IDs are valid SPDX
4f5bbe4c4cc898f868a19ce131cb788571f8a66a,SPDX-JSON,syft,189,SKIP,0.0,No vulnerabilities declared — A8 failed,SKIP,0.0,No components with mappable ecosystem/version,FAIL,0.0,0/15 PURLs resolved successfully,PASS,1.0,60/60 license IDs are valid SPDX
4f6026fa21439708c455b3ff90097135992fb925,CycloneDX-JSON,Node.js module,78,SKIP,0.0,No vulnerabilities declared — A8 failed,PARTIAL,0.167,"1 supported, 5 EOL, 24 unknown (of 30 checked)",PASS,1.0,15/15 PURLs resolved successfully,PARTIAL,0.833,"25/30 license IDs are valid SPDX; invalid examples: Python Software Foundation License, PSF"
4f72482a7a2067f8172e430e68bee7bd4b36b2c4,CycloneDX-JSON,cyclonedx-php-composer,54,SKIP,0.0,No vulnerabilities declared — A8 failed,SKIP,0.0,No components with mappable ecosystem/version,FAIL,0.0,0/15 PURLs resolved successfully,PASS,1.0,30/30 license IDs are valid SPDX
4f764c1421c08a609c0bfb25ed39918dafad9e29,CycloneDX-JSON,CycloneDX Maven plugin,499,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 0 EOL, 30 unknown (of 30 checked)",PASS,1.0,15/15 PURLs resolved successfully,PARTIAL,0.967,29/30 license IDs are valid SPDX; invalid examples: Public Domain
4f764eaea1955b1eeea71905c485b8e69fa49f8a,CycloneDX-JSON,cdxgen,31,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 5 EOL, 25 unknown (of 30 checked)",PASS,1.0,15/15 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
4f76cb2ac1fb0beba58a4ea34892c1dfd936f23c,SPDX-JSON,cyclonedx:cyclonedx,9,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 1 EOL, 9 unknown (of 10 checked)",PASS,1.0,10/10 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
4f89fb2bb04d9c2214c0b0d415a224589b9f24cd,CycloneDX-JSON,cyclonedx-php-composer,44,SKIP,0.0,No vulnerabilities declared — A8 failed,SKIP,0.0,No components with mappable ecosystem/version,FAIL,0.0,0/15 PURLs resolved successfully,PARTIAL,0.967,29/30 license IDs are valid SPDX; invalid examples: BSD
4f93f69b1d597d7469547f514d197490b0be68c3,CycloneDX-JSON,cyclonedx-php-composer,107,SKIP,0.0,No vulnerabilities declared — A8 failed,SKIP,0.0,No components with mappable ecosystem/version,FAIL,0.0,0/15 PURLs resolved successfully,PASS,1.0,30/30 license IDs are valid SPDX
4fa3af112bb2e4d05be7634dd62b4d8faac8786a,CycloneDX-JSON,Node.js module,417,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 0 EOL, 30 unknown (of 30 checked)",PASS,1.0,15/15 PURLs resolved successfully,PASS,1.0,30/30 license IDs are valid SPDX
4fa47e55bbf1d5552393f8c34b3a70c2bebaa863,CycloneDX-JSON,cdxgen,16,SKIP,0.0,No vulnerabilities declared — A8 failed,SKIP,0.0,No components with mappable ecosystem/version,FAIL,0.0,0/15 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
4fbd8f2d1a7d437d45e25470e7ba964e7084949d,CycloneDX-JSON,cyclonedx-bom,59,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 2 EOL, 28 unknown (of 30 checked)",PASS,1.0,15/15 PURLs resolved successfully,PASS,1.0,36/36 license IDs are valid SPDX
4fc547f8e9a77774291f70cd76ac53f5f52084dd,CycloneDX-JSON,trivy,161,SKIP,0.0,No vulnerabilities declared — A8 failed,SKIP,0.0,No components with mappable ecosystem/version,FAIL,0.0,0/15 PURLs resolved successfully,PARTIAL,0.851,"74/87 license IDs are valid SPDX; invalid examples: public-domain, GFDL, PD"
4fdf55148cdc1648e0a8a08cd0da9b203c03d4f6,CycloneDX-JSON,unknown,5,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 0 EOL, 5 unknown (of 5 checked)",FAIL,0.0,0/5 PURLs resolved successfully,PARTIAL,0.909,10/11 license IDs are valid SPDX; invalid examples: Libtool-exception
4fe00e3e3a509e0aeca7c821bb5e1029ca6291d4,CycloneDX-JSON,cdxgen,15,SKIP,0.0,No vulnerabilities declared — A8 failed,SKIP,0.0,No components with mappable ecosystem/version,FAIL,0.0,0/15 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
4fe24b4a1b8ff3115df23ed6ef4ca39507606463,CycloneDX-JSON,trivy,161,SKIP,0.0,No vulnerabilities declared — A8 failed,SKIP,0.0,No components with mappable ecosystem/version,FAIL,0.0,0/15 PURLs resolved successfully,PARTIAL,0.851,"74/87 license IDs are valid SPDX; invalid examples: public-domain, GFDL, PD"
4ff70506b7d1dc1ce2832dcdfc67659b535cbba3,CycloneDX-JSON,cdxgen,13,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 2 EOL, 11 unknown (of 13 checked)",PASS,1.0,13/13 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
500853e4c1d2a17e55933dab50f9be86376cafd8,CycloneDX-JSON,Node.js module,1043,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 0 EOL, 30 unknown (of 30 checked)",PASS,1.0,15/15 PURLs resolved successfully,PASS,1.0,30/30 license IDs are valid SPDX
