,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,B1,B2,B3,B4,C1,C2
CycloneDX-JSON,100.0,91.2,2.6,93.0,45.1,99.5,69.4,0.4,75.0,9.0,16.1,100.0,99.4,75.0,2.3,64.5,36.8,6.9,6.1
CycloneDX-XML,100.0,91.5,0.0,76.4,0.0,100.0,31.2,0.0,,1.8,0.0,100.0,52.9,,0.0,62.7,,3.5,0.0
SPDX-JSON,100.0,52.4,26.7,61.2,97.8,100.0,97.1,56.8,,0.0,4.8,100.0,100.0,,3.0,25.6,65.4,39.6,0.0
